pmid,finding
31474543,"New targeted therapies, such as crisaborole and dupilumab, have significantly improved the treatment outcomes for severe Atopic Dermatitis."
39230880,The study aimed to investigate the association of low-dose oral metformin with clinical symptoms and scalp gene expression patterns in patients with Central centrifugal cicatricial alopecia (CCCA).
24912513,"The text reviews the current understanding of neuropathic pruritus, emphasizing the need for detailed knowledge of its mechanisms and standardized trials to improve treatment."
12606187,"The text describes the clinical classification and neuropathophysiology of itch, distinguishing between peripheral (pruritoceptive) and central (neurogenic or neuropathic) types."
29931387,The article provides a summary and overview of current and recent therapeutic options for chronic pruritus by targeting various points in the pruritic cascade.
34582571,The systematic review and meta-analysis examines the targeting of the opioid pathway for the treatment of chronic kidney disease-associated pruritus.
40119613,"Atopic dermatitis, prurigo nodularis, and chronic spontaneous urticaria are unified by an aberrant type 2 immune response, suggesting shared underlying pathophysiological mechanisms."
41880222,Beta-alanine may alleviate aquagenic pruritus by modulating a neuroimmune circuit involving the MRGPRD receptor.
33460006,A focused treatment tailored to the primary disease and the underlying molecular signals is suggested to provide fast and sustained relief of pruritus associated with psoriasis or atopic dermatitis.
25700248,Itch sensory signals are segregated from other somatosensory modalities by the expression of dedicated receptors and neurotransmitters within a distinct spinal cord circuit.
24819620,"The text reviews the molecules, cells, and circuits known to mediate the itch sensation, aiming to contribute to the development of new anti-itch therapies."
33644103,"IL-31 and its receptor are potential therapeutic targets for pruritic diseases, and nemolizumab is a drug that has successfully targeted the IL-31 receptor."
38652814,"The study identified distinct cytokine profiles, including elevated IFNγ, IL13, and IL17A, in patients with specific ircAE phenotypes compared to controls."
32433948,"The review aims to introduce basic concepts in itch biology, highlighting how distinct immunologic pathways integrate with itch-sensory circuits to inform a new paradigm of neuroimmunology and therapeutic development for chronic itch."
37172902,"The diagnosis and successful treatment of pruritus depend on identifying the specific pathway, whether histaminergic or nonhistaminergic, that mediates the itch in the patient."
29374516,"Chronic itch and anxiety are linked in a vicious cycle, suggesting that the central nervous system is a major pathway for developing new anti-itch treatments."
40601335,The objective of the trial is to evaluate the safety and efficacy of combining linperlisib and chidamide in patients with relapsed or refractory cutaneous T-cell lymphoma (CTCL).
15983470,The review highlights the complex mechanisms of postoperative pruritus and emphasizes the need for basic and clinical studies to address the effects of drugs on specific receptors.
32715798,New therapies for chronic pruritus are emerging by targeting key cytokines and receptors within the neuroimmune pathways.
40813061,"Atopic dermatitis involves complex neuroimmune circuits and the itch-scratch cycle, necessitating integrative therapies to reduce neuroinflammation and break the cycle."
38680970,"The review aims to guide healthcare providers in effectively identifying, assessing, and treating CKD-associated pruritus to reduce symptom burden and improve quality of life."
39276195,"Key findings include increased Th17 cell infiltration and IL-17 expression in keloids, highlighting IL-17's role in amplifying the inflammatory and fibrotic process."
40884188,"Alloknesis is a pathological form of itch linked to sensitization, involving interactions between low-threshold mechanoreceptors and spinal interneurons via both the mechanical labelled and polymodal pathways."
37178730,"The article discusses the management of Chronic Pruritus (CP), noting that it can be caused by various underlying conditions and requires specific antipruritic treatment."
40000587,"The systematic review found an association between severe CKD-associated pruritus, increased medication usage, decreased compliance with HD treatments, and higher rates of hospitalization."
32741227,"Abrocitinib, a JAK1 inhibitor, shows potential for treating atopic dermatitis by targeting the JAK-STAT pathway."
36119001,"This case report describes a rare presentation of macular amyloidosis, highlighting the variety of localized cutaneous amyloidosis and discussing the potential role of Janus Kinase inhibitors in its pathological pathway."
31940044,"Dry skin-induced itch is mediated by receptors and mediators, such as MAS-related G protein-coupled receptor family, transient receptor potential, and chemokines, supporting a histamine-independent pathway."
27886901,Understanding itch signaling pathways is crucial for developing novel therapeutic approaches for atopic dermatitis.
16583223,"Pruritus is mediated by a variety of neuromediators, such as neurotrophins and neuropeptides, in addition to histamine."
37768658,Inhibition of the T-cell immunoreceptor with Ig and ITIM domains (TIGIT)/poliovirus receptor pathway may amplify the antitumor immune response of atezolizumab in programmed death ligand 1-selected tumors.
24360854,Novel small molecule inhibitors and biologics are being developed to treat Atopic Dermatitis by targeting specific inflammatory and immune pathways.
38598229,"The study aimed to determine if guselkumab, an IL-23p19 inhibitor, provides clinical improvement for participants with Pityriasis Rubra Pilaris (PRP)."
27543416,Understanding the contribution of glutamate receptors and related downstream signaling pathways may provide a new opportunity to design better medicine for the treatment of different forms of chronic pain.
30033061,"The mechanisms of neuropathic itch are poorly understood, resulting in reduced treatment availability."
40711469,"The study assessed INCAGN01876, a GITR-targeting agonist, in patients with advanced solid tumors, noting that doses ≥5 mg/kg every 2 weeks resulted in full receptor occupancy at trough."
40317187,"The study assessed the efficacy and safety of rilzabrutinib, a selective BTK inhibitor, in patients with moderate-to-severe atopic dermatitis."
39424975,Obtaining pathophysiological insights into the generation of chronic itch is essential for understanding its mechanisms and the development of innovative anti-itch medications.
36979447,"The review highlights the multifaceted role of TRPV3 in various skin processes, suggesting its potential as a novel target for regulating skin regeneration and treating related skin diseases."
40181807,"Molecular biomarkers, including LOR, IL-31, and TRPV1, are crucial for refining the diagnosis and guiding targeted therapies for Allergic Contact Dermatitis."
14623709,"Cutaneous neurobiology involves complex interactions between peripheral nerves, the immune system, and various signaling molecules, mediating both normal and pathological skin functions."
22367178,"Technological advancements have provided unparalleled insight into the complex mechanisms of pain and pruritus, leading to new therapeutic possibilities."
31907139,"NMDA receptors may play a key role in neuraxial opioid-induced pruritus, suggesting that NMDA receptor antagonists could offer therapeutic advantages."
38866636,Studying cancer therapy-induced dermatotoxicity helps identify molecular mechanisms governing skin immunity and deepen our understanding of human biology.
31566796,"The pathophysiology of chronic itch in atopic dermatitis is attributed to crosstalk between keratinocytes, the immune system, and non-histaminergic sensory nerves."
41212421,"A better understanding of the triple interaction between sleep, pruritus, and phototherapy may help to improve outcomes for chronic kidney disease-associated pruritus."
41351479,Epidermal growth factor receptor inhibitors (EGFRIs) are used to treat breast cancer but frequently cause dermatologic toxicities.
11460891,Oxcarbazepine is an effective anticonvulsant for managing epilepsy and is often better tolerated than phenytoin and valproic acid.
27027596,"Hypertrophic scarring is influenced by complex pathophysiologic patterns involving neurogenic inflammation, mechanotransduction, and stem cell-cytokine interactions, suggesting new avenues for therapeutic intervention."
27595395,Astrocytes in the spinal dorsal horn are identified as key players in the mechanisms underlying chronic itch.
36635208,"The review aims to address the pathophysiology and interactions between ocular itching and eye rubbing, which are common complaints in ophthalmology."
39979642,"Elevated CXCL10 expression, potentially mediated by mast cells, may contribute to sensory dysfunction in cutaneous neurofibroma and represents a potential therapeutic target."
26590341,"The dynamic nature of G protein-coupled receptors (GPCRs) controls signaling in time and space, providing novel therapeutic opportunities for pain and itch."
26900059,"The evaluation of itch and pain requires various methodologies, which can be challenging and sometimes contradictory when applied across different models and conditions."
37511610,"Atopic dermatitis and pruritus are linked to neuroimmune dysregulation, which can be triggered by environmental factors such as particulate matter."
25663760,"Biliary drainage is cited as the most effective therapy for pruritis associated with jaundice, although medical management includes drugs such as ursodeoxycholic acid, cholestyramine, rifampicin, naltrexone, and sertraline."
28641031,"Current therapies for nonalcoholic steatohepatitis (NASH) remain suboptimal, highlighting the urgent need for safe and effective new treatments."
41440960,The variability in Primary Biliary Cholangitis (PBC) treatment response necessitates personalized medicine approaches guided by non-invasive predictive biomarkers.
28073787,Whole exome sequencing identified COL6A5 variants co-segregating with chronic itch in affected members.
34033148,The type 2 immune response plays a major role in the development of pruritus in various itchy conditions beyond atopic dermatitis.
33147885,"The development of diphenethylamines as selective kappa opioid receptor (KOR) ligands is presented as a promising strategy for novel pharmacotherapeutics, offering alternatives to conventional agonists."
41535530,"Sleep disturbance is recognized as a modifier of dermatologic disease, and the systematic review found associations between sleep disturbances and various hair loss subtypes, including AA and AGA."
35226171,"Increased tissue levels of SOCS-3 in mycosis fungoides patients are significantly upregulated and correlate with itching, suggesting a role in the disease's pathogenesis."
30672355,Atopic dermatitis is characterized by multiple phenotypes and requires personalized therapy that targets various immune pathways beyond the traditional Th2 axis.
23135211,The text proposes that neuropathic mechanisms and the central nervous system contribute significantly to the pathophysiology and maintenance of chronic pruritus following burns.
16423451,"Brachioradial pruritus, a neuropathic disorder, was refractory to most treatments but responded to lamotrigine."
33247430,"A novel population of GABAergic neurons (LJA5), marked by prodynorphin, was identified in the ventral brainstem and provides an inhibitory projection to spinal lamina I, which can reduce pain and itch."
17010747,Dermatologic side effects associated with EGFR inhibitors are related to the inhibition of EGFR-signaling pathways in the skin.
39479087,The study emphasizes the need for thorough dermatologic evaluation and follow-up in patients receiving BRAF inhibitors to optimize management and avoid unnecessary treatment cessation.
35038165,The feasibility trial comparing intrathecal morphine to sham injection achieved a 46% recruitment rate and a 96% protocol adherence rate.
31419544,Crisaborole treatment resulted in early improvement in lesional signs/symptoms and significantly modulated key AD biomarkers compared with vehicle.
37453613,Difelikefalin rapidly suppressed itch without altering AD-like skin.
28890086,"The study reveals that the sensory nervous system utilizes classical immune signaling pathways, such as those involving IL-4Rα and JAK1, to mediate chronic itch and influence mammalian behavior."
28577806,The management of atopic dermatitis-related pruritus is increasingly focusing on directly targeting neural transmission pathways using neuromodulatory agents.
37634890,The text describes the neuroimmune interactions underlying type 2 inflammatory diseases and the need for targeted treatments to reduce associated symptoms.
30150993,Novel therapeutic approaches exploring both H1R and H4R are being investigated as targets for histamine-mediated allergic diseases.
29248522,"Targeting PDE4 reduces the production of proinflammatory mediators in AD, and Crisaborole 2% ointment is an approved topical inhibitor."
33811449,Understanding the endogenous mediators and receptors involved in itch transmission is crucial for developing new therapeutic approaches for allergic diseases.
23551368,The management of itch in atopic dermatitis requires the development of novel targeted treatments and efficient use of current therapies.
25572554,The balance between the production of prostanoids and the expression of their receptors is crucial for maintaining homeostasis and is implicated in the development of pathological conditions such as allergy.
35223190,Translational immunology allows generating rational therapies for Atopic Dermatitis by understanding its immunopathogenesis.
34560104,"IL-33 may be a predominant mediator of itch in certain contexts, depending on the tissue microenvironment."
25861783,"Protease-activated receptors (PARs) are critically involved in itch and sensitization of itch, making them good targets for novel treatments for chronic itch."
17653196,These data demonstrate that GRPR is required for mediating the itch sensation rather than pain.
33963624,Neuropeptides are hypothesized to be novel potential targets for the treatment of atopic dermatitis.
35626720,The pathogenesis of atopic dermatitis involves disrupted epidermal barriers and the abnormal release of pro-inflammatory mediators from keratinocytes.
34225894,"Progress has been made in identifying therapeutic targets and pathomechanisms for Atopic Dermatitis (AD), suggesting new avenues for treatment."
38139833,"TRP channels, Mrgprs, and PARs are discussed as therapeutic targets for the treatment of pruritus."
34281281,Pruritogens contribute to the pathogenesis of Atopic Dermatitis by interacting with immune cells and acting as inflammatory mediators.
41099016,Mast cells are increasingly recognized as key contributors to the initiation and amplification of atopic dermatitis (AD).
37048783,"Atopic dermatitis exhibits significant heterogeneity across different ethnic groups, suggesting that genetic predisposition and dominant immunologic pathways should guide tailored treatment strategies."
25873897,"The H4 receptor (H4R) represents a potential drug target for conditions like asthma and pruritus, offering therapeutic avenues beyond the established H1 and H2 receptor blockers."
34249003,"TSLP is strongly implicated in the pathogenesis of cutaneous immune-mediated diseases, highlighting its potential as a target for future therapies."
25339380,The text reviews the roles of Innate Lymphoid Cells (ILCs) in inflammatory skin disorders and their therapeutic potential.
40357939,"Non-pharmacological therapies are essential for the holistic management of Atopic Dermatitis, but their effectiveness varies, highlighting the need for tailored approaches."
30685562,"Treating chronic itch may be challenging, but an arsenal of treatments are available and many are on the horizon as we expand our knowledge of mechanisms of itch and the neural receptors involved."
35742951,"IL-31 plays a crucial role in the pathogenesis of systemic skin manifestations, and monoclonal antibodies directed against it have shown therapeutic efficacy."
41521300,"Washed microbiota transplantation (WMT) was well tolerated and significantly improved AD scores (SCORAD, EASI, DLQI, NRS) while also altering gut microbiota composition."
26630350,"A combination of topical and systemic therapies, addressing peripheral mediators and targeting the central nervous system, is preferred for managing chronic pruritus."
35890193,"The text reviews the neurobiology of pain and itch, highlighting the need for pharmaceutical targets and novel compounds for their concurrent treatment."
39406262,"The bacterial eIL-31 induced marked pruritus in some horses, while the mammalian eIL-31 induced mild pruritus."
37665064,"The review summarizes possible mechanisms, such as sleep problems and inflammatory responses, that mediate the relationship between atopic dermatitis and various mental health concerns in youth."
28215300,"Neurotrophins play a critical role in the bidirectional signaling mechanisms between immune cells and the neurosensory network structures, influencing allergic inflammation."
35269828,"Atopic dermatitis pathophysiology involves a complex interplay of genetic background, skin barrier dysfunction (such as filaggrin mutations), and immune responses, including IgE-mediated sensitizations."
28098721,The endocannabinoid system (ECS) plays a role in maintaining skin homeostasis and may serve as a therapeutic target for various eczematous dermatoses.
31631717,"Despite current management strategies, there is a significant unmet need for Atopic Dermatitis treatment, with emerging approaches targeting inflammatory pathways like the IL-4 receptor α."
25164568,"Cytokines are highlighted as therapeutic targets for inflammatory skin diseases like eczema and psoriasis, particularly those expressed in the uppermost skin layer."
40639777,"TRPV channels are pivotal regulators that link cellular changes to the immune system, and their dysregulation contributes to autoimmune pathology."
20846147,"The pathogenesis of pruritus is complex and involves specific mediators and receptors, such as interleukin-31, gastrin-releasing peptide receptor, and histamine H4 receptor."
33917069,"JAK inhibitors are potentially effective strategies for treating Atopic Dermatitis, although they are associated with adverse events."
41495658,Itch is driven by complex neuroinflammatory processes involving peripheral activation of receptors like TLRs and central glial contributions mediated by cytokines and signaling pathways such as STAT3.
31157635,Therapeutics targeting the key cytokines IL-4 and IL-13 show potential for revolutionizing the treatment of atopic dermatitis.
39608174,Pharmacological suppression of the NLRP3 inflammasome shows promise for mitigating the pathological aspects of Atopic Dermatitis.
34261335,"Type 2 immunity plays a prominent role in various skin diseases, leading to the development of targeted therapies such as monoclonal antibodies against IL-4Rα."
38824908,"Lichenified dogs exhibited significantly higher IL-33 immunostaining compared to erythema, alesional pruritus, and the control group."
36610396,"Periostin links NF-κB-mediated inflammation with type 2 inflammation and promotes itching in allergic skin inflammation, suggesting it is a promising therapeutic target for AD."
20553229,"Neurotrophins, including NGF, BDNF, NT-3, and NT-4/5, are critical protein growth factors released by sensory neurons that regulate the bidirectional signaling between the immune system and the neurosensory network."
41291177,Topical delgocitinib is a pan-Janus kinase inhibitor that offers a corticosteroid-sparing alternative for chronic hand eczema by simultaneously targeting multiple cytokine pathways.
27592075,Advanced nanocarrier-based regimens are emerging as effective therapies for managing Atopic Dermatitis (AD) by providing targeted delivery of therapeutic payloads.
41556018,"Sleep disturbance is a major comorbidity in inflammatory skin diseases like atopic dermatitis and psoriasis, involving a bidirectional interplay with pruritus and inflammation."
38932349,The plant-made M1 monoclonal antibody demonstrated similar improvements to the commercial Lokivetmab in treating pruritus induced by canine IL-31.
18280606,"The gastrin-releasing peptide receptor (GRPR) mediates itch sensation in the dorsal spinal cord, and direct injection of a GRPR antagonist significantly inhibits scratching behavior."
35986664,"Week 16 efficacy parameters, including EASI and pruritus Numerical Rating Scale, generally increased with week 16 trough concentration."
29533490,"Effective treatment for atopic dermatitis requires a proactive approach that addresses persistent microinflammation and improves the skin barrier function, often combining emollients with anti-inflammatory therapies such as topical calcineurin inhibitors or corticosteroids."
26768665,ΔNp63 plays a key role in the pathogenesis of atopic dermatitis by acting as a transcriptional regulator of cytokines such as IL-33 and IL-31.
27448446,"MRGPRX2 is a GPCR expressed on mast cells that plays a role in host defense, allergic reactions, and chronic inflammation, and can be activated by host defense peptides."
21622248,"The H4R is suggested as a potential therapeutic target for chronic inflammatory skin diseases like atopic dermatitis, unlike the blockade of H1R and H2R."
31343082,"Despite its mechanisms being less understood, UV therapy/Phototherapy is advantageous for treating chronic pruritus due to its wide range of treatable conditions, low side effects, and ability to be combined with other treatments."
32343720,"IBH-LE skin displayed substantial transcriptomic differences compared to healthy skin, characterized by downregulation of genes involved in tight junction formation, alterations in keratins, and upregulation of immune signatures like IL13."
24667097,"IL-31 and IL-31RA were detected in infiltrating cells, keratinocytes, and nerve fibers in atopic dermatitis skin and normal human dorsal root ganglia."
31641698,FLG knockdown in skin organoids caused subtle histological changes but did not affect transepidermal water loss or epidermal ceramide content in mature organoids.
17703497,"Targeted silencing of the COX-1 gene significantly accelerated the scratching behavior of NC/Nga mice, whereas the COX-2 siRNA showed no effect."
21485793,"Lipid nanoparticle encapsulation of tacrolimus (T-LN) was developed to enhance targeting and improve safety compared to the commercially available reference product, Protopic."
21294778,Serum IL-31 levels were significantly higher during AD flares and correlated positively with disease severity.
1635598,A correlation was found between the exacerbation or induction of atopic dermatitis and the consumption or direct skin contact of allergenic foods.
24321252,"The study characterized IL-31 production in beagle dogs, showing that Th2 polarization and stimulation with Staphylococcus enterotoxin B (SEB) increase IL-31 levels."
30409247,"The pathophysiology of chronic itch is attributed to crosstalk existing between keratinocytes, the immune system, and nonhistaminergic sensory nerves."
28389872,"Understanding the key roles of glial cells may provide insights into the mechanisms of chronicity of pain and itch, suggesting they are important targets for treatment."
37079850,TRPA1 was significantly enriched with rare variants that discriminated chronic pain patients from healthy controls.
32788559,The compound DA-0218 was selected for experimental assessment and significantly reduced the sodium current in Nav1.7-expressing cells.
30627644,BDNF deletion in the adult altered few itch or acute and chronic pain behaviors.
24856969,A monoclonal antibody targeting the NaV1.7 channel shows therapeutic potential for suppressing both pain and itch.
25846611,"Pain research aims to clarify neuronal mechanisms at the peripheral, spinal, and supraspinal levels, identifying targets such as voltage-gated sodium channels and NGF for developing new treatments."
37975421,"MRGPRs are promising drug targets for conditions like itch and nociception, but their study is currently limited by the scarcity of potent and selective ligands."
39493768,"Compound B is a novel, orally active antagonist that potently blocks Substance P-mediated degranulation and histamine release from mast cells."
